vendor_id,display_name,legal_entity_name,has_vendor_record,has_legal_entity_name,has_homepage,has_privacy_notice_source,has_dpa_source,has_subprocessor_source,has_security_source,has_compliance_source,has_source_health,has_jurisdiction_or_region,has_vendor_category,source_count,missing_required_fields,missing_expected_sources,completeness_bucket,requires_human_review
cyberark,CyberArk,CyberArk Software Ltd.,True,True,True,True,False,True,True,False,True,True,True,4,,dpa;compliance,partial,True
darktrace,Darktrace,Darktrace Holdings Limited,True,True,True,True,False,True,True,False,True,True,True,4,,dpa;compliance,partial,True
darwinbox,Darwinbox,Darwinbox Digital Solutions Private Limited,True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
databricks,Databricks,"Databricks, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
datadog,Datadog,"Datadog, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
deel,Deel,Deel Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
deepl,DeepL,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
descript,Descript,"Descript, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
digitalocean,DigitalOcean,"DigitalOcean, LLC",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
docebo,Docebo,Docebo S.p.A.,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
docker,Docker,"Docker, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
docusign,DocuSign,"DocuSign, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
doodle,Doodle,Doodle AG,True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
dotdigital,Dotdigital,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
drata,Drata,Drata Inc.,True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
dropbox,Dropbox,"Dropbox, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
duck-creek-technologies,Duck Creek Technologies,Duck Creek Technologies,True,True,True,True,False,False,True,True,True,True,True,3,,dpa;subprocessors_list,partial,True
elastic,Elastic,Elasticsearch B.V.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
emarsys,Emarsys,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
employment-hero,Employment Hero,Employment Hero Pty Ltd,True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
eset,ESET,"ESET, spol. s r.o.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
exoscale,Exoscale,,True,False,True,True,True,False,False,False,True,True,True,2,legal_entity_name,subprocessors_list;security;compliance,entity_review_needed,True
f-secure,F-Secure,F-Secure Corporation,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
factorial,Factorial,"Everyday Software, S.L.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
figma,Figma,"Figma, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
fis,FIS,"Fidelity National Information Services, Inc.",True,True,True,True,False,False,False,False,True,True,True,2,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
fiserv,Fiserv,"Fiserv, Inc.",True,True,True,True,False,False,False,False,True,True,True,2,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
fly-io,Fly.io,,True,False,True,True,False,False,False,False,True,True,True,3,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
fortinet,Fortinet,"Fortinet, Inc.",True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
freshworks,Freshworks,Freshworks Inc.,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
front,Front,"FrontApp, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
getresponse,GetResponse,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
github,GitHub,"GitHub, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
gitlab,GitLab,GitLab Inc.,True,True,True,True,True,True,True,False,True,True,True,5,,compliance,partial,True
global-payments,Global Payments,Global Payments Inc.,True,True,True,True,False,False,False,False,True,True,True,2,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
gocardless,GoCardless,GoCardless Ltd,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
google-cloud,Google Cloud,Google LLC,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
google-workspace,Google Workspace,Google LLC,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
gorgias,Gorgias,Gorgias Inc.,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
govini,Govini,Govini,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
grafana-labs,Grafana Labs,,True,False,True,True,False,False,True,False,True,True,True,2,legal_entity_name,dpa;subprocessors_list;compliance,entity_review_needed,True
grammarly,Grammarly,"Grammarly, Inc.",True,True,True,True,False,False,True,True,True,True,True,4,,dpa;subprocessors_list,partial,True
graphcore,Graphcore,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
greenhouse,Greenhouse,"Greenhouse Software, Inc.",True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
greythr,greytHR,Greytip Software Private Limited,True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
guidewire,Guidewire,Guidewire,True,True,True,True,True,False,True,False,True,True,True,4,,subprocessors_list;compliance,partial,True
gusto,Gusto,"Gusto, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
hashicorp,HashiCorp,"HashiCorp, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
help-scout,Help Scout,Help Scout PBC,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
hetzner,Hetzner,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
hibob,HiBob,Hi Bob Ltd.,True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
huawei-cloud-cn,华为云,华为云计算技术有限公司,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
huawei-cloud-international,Huawei Cloud International,Huawei Cloud,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
hubspot,HubSpot,"HubSpot, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
hugging-face,Hugging Face,"Hugging Face, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
hyperproof,Hyperproof,"Hyperproof, Inc.",True,True,True,True,True,True,True,True,True,True,True,6,,,complete_enough_for_review,False
ibm-cloud,IBM Cloud,International Business Machines Corporation,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
insider,Insider,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
instructure,Instructure,"Instructure, Inc.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
intercom,Intercom,"Intercom, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
jetbrains,JetBrains,JetBrains s.r.o.,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
keka,Keka,Keka Technologies Private Limited,True,True,True,True,True,False,True,False,True,True,True,4,,subprocessors_list;compliance,partial,True
klarna,Klarna,Klarna Bank AB (publ),True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
klaviyo,Klaviyo,"Klaviyo, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
lattice,Lattice,"Degree, Inc.",True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
lever,Lever,"Employ, Inc.",True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
linear,Linear,"Linear Orbit, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
logicgate,LogicGate,"LogicGate, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
loom,Loom,"Atlassian US, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
lucid-software,Lucid Software,Lucid Software Inc.,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
mailchimp,Mailchimp,The Rocket Science Group LLC,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
mailerlite,MailerLite,MailerLite Limited,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
marqeta,Marqeta,"Marqeta, Inc.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
meditech,MEDITECH,MEDITECH,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
microsoft,Microsoft,Microsoft Corporation,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
microsoft-azure,Microsoft Azure,,True,False,True,False,False,False,True,False,True,True,True,1,legal_entity_name,privacy_notice;dpa;subprocessors_list;compliance,entity_review_needed,True
miro,Miro,"RealtimeBoard, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
mistral-ai,Mistral AI,Mistral AI SAS,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
mixpanel,Mixpanel,"Mixpanel, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
mollie,Mollie,Mollie B.V.,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
monday,monday.com,monday.com Ltd.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
monday-com,monday.com,monday.com Ltd.,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
mongodb,MongoDB,"MongoDB, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
n8n,n8n,n8n GmbH,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
neo4j,Neo4j,,True,False,True,True,False,False,True,False,True,True,True,2,legal_entity_name,dpa;subprocessors_list;compliance,entity_review_needed,True
neon,Neon,"Databricks, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
netlify,Netlify,"Netlify, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
netskope,Netskope,"Netskope, Inc.",True,True,True,True,False,False,True,True,True,True,True,4,,dpa;subprocessors_list,partial,True
netsuite,NetSuite,Oracle NetSuite,True,True,True,False,False,False,True,True,True,True,True,2,,privacy_notice;dpa;subprocessors_list,source_coverage_incomplete,True
new-relic,New Relic,"New Relic, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
notion,Notion,"Notion Labs, Inc.",True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
odoo,Odoo,Odoo S.A.,True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
okta,Okta,"Okta, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
onepassword,1Password,AgileBits Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
onetrust,OneTrust,"OneTrust, LLC",True,True,True,True,False,True,True,False,True,True,True,3,,dpa;compliance,partial,True
openai,OpenAI,"OpenAI, L.L.C.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
oracle-cloud,Oracle Cloud,Oracle Corporation,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
pagerduty,PagerDuty,"PagerDuty, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
palantir,Palantir,Palantir,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
pandadoc,PandaDoc,"PandaDoc, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
paychex,Paychex,"Paychex, Inc.",True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
payoneer,Payoneer,Payoneer Inc.,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
paypal,PayPal,"PayPal, Inc.",True,True,True,False,True,False,False,False,True,True,True,3,,privacy_notice;subprocessors_list;security;compliance,source_coverage_incomplete,True
personio,Personio,Personio SE & Co. KG,True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
pinecone,Pinecone,"Pinecone Systems, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
ping-identity,Ping Identity,Ping Identity Corporation,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
pipedrive,Pipedrive,,True,False,True,True,False,True,False,False,True,True,True,2,legal_entity_name,dpa;security;compliance,entity_review_needed,True
plaid,Plaid,Plaid Inc.,True,True,True,True,False,False,False,False,True,True,True,1,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
planetscale,PlanetScale,"PlanetScale, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
pointclickcare,PointClickCare,PointClickCare,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
posthog,PostHog,"PostHog, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
postman,Postman,"Postman, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
prismic,Prismic,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
qualtrics,Qualtrics,"Qualtrics, LLC",True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
quickbooks,QuickBooks,Intuit Inc.,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
railway,Railway,,True,False,True,True,False,False,False,False,True,True,True,3,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
razorpay,Razorpay,Razorpay Software Private Limited,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
red-hat,Red Hat,"Red Hat, LLC",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
redis,Redis,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
redox,Redox,Redox,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
render,Render,"Render Services, Inc.",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
retool,Retool,"Retool, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
rippling,Rippling,Rippling People Center Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
sage,Sage,The Sage Group plc,True,True,True,True,False,True,True,False,True,True,True,3,,dpa;compliance,partial,True
salesforce,Salesforce,"Salesforce, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
sanity,Sanity,Sanity AS,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
sap,SAP,SAP SE,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
scaleway,Scaleway,Scaleway SAS,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
scrut-automation,Scrut Automation,Scrut Automation Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
second-front-systems,Second Front Systems,Second Front Systems,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
secureframe,Secureframe,"Secureframe, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
segment,Segment,"Segment.io, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
sentry,Sentry,"Functional Software, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
servicenow,ServiceNow,"ServiceNow, Inc.",True,True,True,True,False,True,True,True,True,True,True,6,,dpa,partial,True
shield-ai,Shield AI,Shield AI,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
shift-technology,Shift Technology,Shift Technology,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
shopify,Shopify,Shopify Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
slack,Slack,"Slack Technologies, LLC",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
smarthr,SmartHR,"SmartHR, Inc.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
smartsheet,Smartsheet,Smartsheet Inc.,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
snowflake,Snowflake,Snowflake Inc.,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
sophos,Sophos,Sophos Ltd.,True,True,True,True,False,False,True,True,True,True,True,4,,dpa;subprocessors_list,partial,True
splunk,Splunk,Splunk LLC,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
square,Square,"Block, Inc.",True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
squarespace,Squarespace,"Squarespace, Inc.",True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
starburst,Starburst,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
storyblok,Storyblok,,True,False,True,True,True,False,False,False,True,True,True,2,legal_entity_name,subprocessors_list;security;compliance,entity_review_needed,True
strapi,Strapi,,True,False,True,True,False,False,False,False,True,True,True,3,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
stripe,Stripe,"Stripe, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
sumsub,Sumsub,Sum and Substance Ltd,True,True,True,False,False,False,True,False,True,True,True,1,,privacy_notice;dpa;subprocessors_list;compliance,source_coverage_incomplete,True
supabase,Supabase,"Supabase, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
surveymonkey,SurveyMonkey,SurveyMonkey Inc.,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
teamwork,Teamwork,Teamwork Crew Limited,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
tencent-cloud-cn,腾讯云,腾讯云计算（北京）有限责任公司,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
